Production Model,Version,Defect Type,Defect Observation Area,QA Worker,Shift Time,Component Category,Fixture ID,Inspection Week,Production Order Priority
Model 595204-792,05,damaged/ lifted pad,Production Line 3,Tristian,Night,Transistor,FX-007,2025-W26,Low
Model 595242-854,01,lifted component,QA Inspection Station,Davonte,Afternoon,Resistor,FX-014,2025-W37,High
Model 595204-792,03,component misalignment,QA Inspection Station,Davonte,Afternoon,Resistor,FX-025,2025-W51,Low
Model 595130-195,03,bad modules,Production Line 3,Xiang Liang,Night,Capacitor,FX-036,2025-W16,Medium
Model 595242-854,01,pin hole,QA Inspection Station,Davonte,Night,Connector,FX-045,2025-W50,Medium
Model 595214-125,02,component height/titled,Final Assembly Line,Mel,Afternoon,Connector,FX-023,2025-W06,Medium
Model 595204-792,05,pin damaged,QA Inspection Station,Sloane,Morning,Transistor,FX-047,2025-W09,Low
Model 595532-132,04,long terminals,Unknown,Mel,Morning,Capacitor,FX-042,2025-W24,Low
Model 595858-658,05,long terminals,Final Assembly Line,Xiang Liang,Night,Resistor,FX-040,2025-W52,Medium
Model 595214-125,03,pin hole,Final Assembly Line,Darci,Morning,Transistor,FX-040,2025-W49,High
Model 595859-381,04,damaged component,Unknown,Sloane,Afternoon,Capacitor,FX-009,2025-W12,High
Model 595242-854,03,solder bridge,Production Line 2,Sloane,Morning,Transistor,FX-050,2025-W42,Low
Model 595130-195,02,component misalignment,Production Line 2,Daysha,Night,Diode,FX-046,2025-W28,Medium
Model 595214-125,02,pin hole,Production Line 1,Sloane,Morning,Diode,FX-006,2025-W34,Medium
Model 595214-125,04,reversed component,Production Line 3,Daysha,Afternoon,Connector,FX-025,2025-W08,Low
Model 595204-792,04,pin damaged,Production Line 3,Xiang Liang,Night,Resistor,FX-042,2025-W24,Medium
Model 595242-854,03,component broken,Unknown,Zoya,Afternoon,Capacitor,FX-014,2025-W24,Low
Model 595242-854,02,pin hole,Unknown,Daysha,Afternoon,Capacitor,FX-014,2025-W50,High
Model 595323-328,03,component broken,Final Assembly Line,Daysha,Night,Transistor,FX-049,2025-W30,Medium
Model 595130-195,01,component misalignment,Unknown,Mel,Afternoon,Diode,FX-001,2025-W48,Medium
Model 595130-195,05,component misalignment,Production Line 1,Tristian,Afternoon,Transistor,FX-002,2025-W16,Low
Model 595130-195,04,component misalignment,QA Inspection Station,Darci,Night,Connector,FX-014,2025-W22,High
Model 595130-195,02,reversed component,Production Line 3,Darci,Morning,Transistor,FX-002,2025-W18,High
Model 595859-381,03,trace open,Unknown,Tristian,Night,Capacitor,FX-049,2025-W31,High
Model 595130-195,04,missing/unknown,Production Line 1,Darci,Night,Transistor,FX-031,2025-W23,Medium
Model 595242-854,05,wrong component,Final Assembly Line,Xiang Liang,Night,Connector,FX-038,2025-W06,Medium
Model 595532-132,01,no property assembled,Production Line 2,Jerome,Morning,Connector,FX-005,2025-W51,Medium
Model 595130-195,05,no property assembled,QA Inspection Station,Xiang Liang,Afternoon,Resistor,FX-018,2025-W19,High
Model 595214-125,04,component height/titled,Production Line 2,Zoya,Afternoon,Capacitor,FX-023,2025-W10,Low
Model 595214-125,02,component height/titled,Final Assembly Line,Darci,Morning,Connector,FX-043,2025-W09,High
Model 595130-195,05,component misalignment,Production Line 2,Geofrey,Morning,Transistor,FX-032,2025-W13,Low
Model 595242-854,05,missing/unknown,Unknown,Mel,Morning,Diode,FX-018,2025-W40,Low
Model 595242-854,04,pin hole,Production Line 2,Davonte,Night,Transistor,FX-020,2025-W46,Low
Model 595130-195,03,missing component,Production Line 1,Darci,Morning,Transistor,FX-044,2025-W20,High
Model 595242-854,05,pin hole,Final Assembly Line,Tristian,Afternoon,Connector,FX-009,2025-W27,Low
Model 595130-195,03,missing component,Unknown,Darci,Morning,Connector,FX-006,2025-W08,Medium
Model 595130-195,04,no property assembled,Final Assembly Line,Alaine,Afternoon,Diode,FX-047,2025-W17,High
Model 595242-854,03,solder bridge,Production Line 2,Mel,Night,Transistor,FX-004,2025-W19,Low
Model 595242-854,04,lifted component,Production Line 1,Xiang Liang,Night,Diode,FX-004,2025-W06,Low
Model 595859-381,01,damaged component,Unknown,Geofrey,Night,Resistor,FX-009,2025-W28,High
Model 595214-125,02,component height/titled,Final Assembly Line,Leena,Night,Connector,FX-035,2025-W29,High
Model 595130-195,01,missing component,Production Line 3,Zoya,Morning,Diode,FX-015,2025-W19,High
Model 595214-125,03,reversed component,Production Line 1,Xiang Liang,Morning,Resistor,FX-022,2025-W12,High
Model 595130-195,03,component misalignment,Production Line 2,Xiang Liang,Morning,Connector,FX-032,2025-W14,High
Model 595189-704,03,damaged component,Production Line 1,Geofrey,Morning,Diode,FX-033,2025-W41,Low
Model 595859-381,03,trace open,Production Line 3,Mel,Morning,Resistor,FX-043,2025-W18,Low
Model 595214-125,02,component height/titled,Unknown,Zoya,Afternoon,Transistor,FX-034,2025-W16,High
Model 595323-328,03,missing/unknown,Production Line 1,Davonte,Night,Resistor,FX-029,2025-W24,High
Model 595214-125,01,component height/titled,Final Assembly Line,Xiang Liang,Afternoon,Connector,FX-010,2025-W04,Low
Model 595204-792,01,component misalignment,Unknown,Leena,Night,Capacitor,FX-048,2025-W17,High
Model 595204-792,03,bad modules,Production Line 2,Zoya,Night,Diode,FX-002,2025-W52,Low
Model 595242-854,01,trace open,QA Inspection Station,Daysha,Afternoon,Capacitor,FX-032,2025-W20,Low
Model 595130-195,03,missing/unknown,QA Inspection Station,Tristian,Night,Connector,FX-014,2025-W08,Low
Model 595323-328,01,pin damaged,Production Line 1,Zoya,Night,Resistor,FX-017,2025-W33,Medium
Model 595189-704,05,no property assembled,Unknown,Daysha,Night,Transistor,FX-024,2025-W18,Low
Model 595242-854,05,lifted component,Production Line 3,Alaine,Night,Resistor,FX-043,2025-W50,High
Model 595858-658,05,lifted component,Unknown,Geofrey,Morning,Diode,FX-026,2025-W10,Medium
Model 595214-125,03,solder bridge,QA Inspection Station,Tristian,Afternoon,Diode,FX-048,2025-W48,Low
Model 595532-132,04,insufficient solder,Production Line 3,Geofrey,Afternoon,Transistor,FX-037,2025-W16,Low
Model 595532-132,02,long terminals,Unknown,Mel,Night,Capacitor,FX-012,2025-W14,Low
Model 595532-132,01,no property assembled,Final Assembly Line,Jerome,Morning,Capacitor,FX-018,2025-W13,High
Model 595204-792,03,solder void,Production Line 2,Tristian,Night,Transistor,FX-011,2025-W46,Medium
Model 595242-854,02,pin hole,Production Line 1,Davonte,Morning,Transistor,FX-049,2025-W35,Medium
Model 595242-854,03,trace open,Final Assembly Line,Xiang Liang,Night,Transistor,FX-040,2025-W44,High
Model 595214-125,02,damaged/ lifted pad,Production Line 3,Sloane,Night,Resistor,FX-003,2025-W22,Medium
Model 595532-132,01,damaged/ lifted pad,Unknown,Leena,Morning,Diode,FX-044,2025-W03,High
Model 595130-195,01,component misalignment,Production Line 1,Sloane,Night,Transistor,FX-009,2025-W48,High
Model 595130-195,03,no property assembled,Production Line 2,Mel,Afternoon,Resistor,FX-005,2025-W31,Low
Model 595204-792,02,pin damaged,Production Line 3,Geofrey,Night,Diode,FX-049,2025-W11,High
Model 595214-125,02,solder bridge,Production Line 2,Mel,Morning,Connector,FX-006,2025-W04,Low
Model 595242-854,05,component broken,Production Line 1,Leena,Night,Resistor,FX-045,2025-W14,Medium
Model 595130-195,04,no property assembled,Production Line 2,Alaine,Morning,Capacitor,FX-036,2025-W18,Low
Model 595859-381,04,pin hole,Production Line 1,Geofrey,Morning,Resistor,FX-046,2025-W41,Medium
Model 595130-195,02,bad modules,Production Line 2,Tristian,Morning,Resistor,FX-006,2025-W48,Medium
Model 595242-854,02,pin hole,Unknown,Sloane,Night,Resistor,FX-047,2025-W34,Medium
Model 595323-338,05,trace open,Final Assembly Line,Xiang Liang,Morning,Capacitor,FX-049,2025-W38,High
Model 595214-125,05,component broken,Final Assembly Line,Darci,Morning,Resistor,FX-005,2025-W23,Medium
Model 595323-328,03,pin hole,Production Line 3,Jerome,Afternoon,Diode,FX-036,2025-W35,High
Model 595532-132,03,no property assembled,Production Line 3,Xiang Liang,Night,Resistor,FX-034,2025-W42,Low
Model 595323-328,05,missing/unknown,Production Line 1,Jerome,Morning,Resistor,FX-018,2025-W21,High
Model 595214-125,05,insufficient solder,Production Line 2,Geofrey,Afternoon,Connector,FX-017,2025-W18,High
Model 595130-195,04,no property assembled,Production Line 2,Mel,Afternoon,Connector,FX-039,2025-W30,Low
Model 595204-792,04,pin damaged,Production Line 1,Xiang Liang,Morning,Capacitor,FX-010,2025-W44,Medium
Model 595532-132,02,damaged component,Final Assembly Line,Leena,Night,Capacitor,FX-012,2025-W09,High
Model 595204-792,05,solder void,QA Inspection Station,Sloane,Morning,Connector,FX-037,2025-W45,Medium
Model 595859-381,05,damaged component,Production Line 1,Jerome,Morning,Connector,FX-027,2025-W08,Medium
Model 595130-195,02,insufficient solder,Unknown,Geofrey,Afternoon,Connector,FX-040,2025-W18,High
Model 595242-854,02,solder bridge,QA Inspection Station,Daysha,Morning,Transistor,FX-015,2025-W52,Medium
Model 595130-195,04,component misalignment,QA Inspection Station,Jerome,Afternoon,Connector,FX-039,2025-W15,Low
Model 595214-125,02,no property assembled,QA Inspection Station,Sloane,Morning,Resistor,FX-005,2025-W42,Low
Model 595214-125,02,wrong component,Final Assembly Line,Tristian,Morning,Capacitor,FX-038,2025-W36,High
Model 595189-704,01,no property assembled,Production Line 2,Davonte,Afternoon,Diode,FX-029,2025-W37,High
Model 595130-195,02,reversed component,Production Line 1,Mel,Morning,Diode,FX-013,2025-W04,Medium
Model 595130-195,02,missing component,QA Inspection Station,Tristian,Afternoon,Capacitor,FX-031,2025-W14,Medium
Model 595242-854,01,lifted component,Production Line 2,Tristian,Night,Connector,FX-040,2025-W34,Low
Model 595214-125,01,reversed component,Unknown,Leena,Afternoon,Capacitor,FX-045,2025-W47,Medium
Model 595532-132,02,long terminals,Production Line 1,Jerome,Afternoon,Connector,FX-037,2025-W30,Medium
Model 595214-125,05,component height/titled,Unknown,Leena,Morning,Diode,FX-018,2025-W47,High
Model 595532-132,04,component misalignment,QA Inspection Station,Geofrey,Afternoon,Transistor,FX-001,2025-W42,Low
Model 595214-125,04,solder bridge,Production Line 3,Darci,Morning,Connector,FX-050,2025-W47,Medium
Model 595858-658,05,long terminals,Production Line 1,Jerome,Night,Transistor,FX-021,2025-W47,High
Model 595532-132,01,no property assembled,QA Inspection Station,Tristian,Afternoon,Transistor,FX-004,2025-W19,Medium
Model 595242-854,02,insufficient solder,Production Line 2,Darci,Afternoon,Transistor,FX-012,2025-W24,High
Model 595532-132,02,no property assembled,Production Line 2,Tristian,Morning,Diode,FX-037,2025-W46,Low
Model 595323-328,01,wrong routing,Production Line 1,Xiang Liang,Afternoon,Transistor,FX-040,2025-W51,Low
Model 595130-195,04,missing/unknown,Unknown,Tristian,Night,Capacitor,FX-042,2025-W06,Medium
Model 595214-125,01,solder bridge,QA Inspection Station,Sloane,Night,Resistor,FX-036,2025-W06,High
Model 595214-125,03,reversed component,Unknown,Sloane,Morning,Diode,FX-004,2025-W51,High
Model 595214-125,04,solder bridge,QA Inspection Station,Davonte,Night,Capacitor,FX-048,2025-W21,High
Model 595859-381,02,damaged component,Production Line 3,Darci,Afternoon,Transistor,FX-032,2025-W15,Medium
Model 595130-195,01,missing component,Unknown,Tristian,Night,Connector,FX-032,2025-W45,Medium
Model 595130-195,03,no property assembled,Unknown,Geofrey,Night,Connector,FX-005,2025-W19,Low
Model 595130-195,03,component misalignment,Unknown,Alaine,Morning,Resistor,FX-025,2025-W41,Low
Model 595130-195,03,no property assembled,Production Line 2,Tristian,Afternoon,Resistor,FX-010,2025-W30,Low
Model 595214-125,02,trace open,Final Assembly Line,Leena,Morning,Diode,FX-034,2025-W34,Low
Model 595130-195,05,missing component,Production Line 3,Sloane,Morning,Transistor,FX-033,2025-W14,Medium
Model 595242-854,03,lifted component,QA Inspection Station,Zoya,Afternoon,Transistor,FX-037,2025-W48,Low
Model 595242-854,01,solder bridge,Unknown,Leena,Afternoon,Transistor,FX-018,2025-W29,High
Model 595130-195,05,component misalignment,QA Inspection Station,Jerome,Morning,Transistor,FX-026,2025-W47,Low
Model 595214-125,01,reversed component,Final Assembly Line,Zoya,Night,Transistor,FX-004,2025-W06,High
Model 595214-125,02,component height/titled,Production Line 2,Tristian,Afternoon,Diode,FX-048,2025-W30,Low
Model 595214-125,02,bad modules,Production Line 3,Xiang Liang,Afternoon,Resistor,FX-038,2025-W25,Medium
Model 595214-125,03,wrong component,Production Line 2,Xiang Liang,Afternoon,Capacitor,FX-027,2025-W37,Medium
Model 595859-381,01,reversed component,Production Line 3,Tristian,Morning,Resistor,FX-042,2025-W13,Medium
Model 595859-381,04,wrong component,Final Assembly Line,Alaine,Night,Resistor,FX-024,2025-W48,High
Model 595130-195,01,missing/unknown,Production Line 2,Tristian,Morning,Connector,FX-002,2025-W25,Low
Model 595130-195,02,lifted component,Production Line 2,Leena,Morning,Resistor,FX-022,2025-W27,Medium
Model 595214-125,03,solder bridge,Unknown,Leena,Morning,Resistor,FX-007,2025-W17,Medium
Model 595242-854,05,pin hole,QA Inspection Station,Zoya,Afternoon,Transistor,FX-038,2025-W03,Medium
Model 595859-381,05,damaged/ lifted pad,Production Line 2,Darci,Night,Resistor,FX-023,2025-W14,High
Model 595130-195,01,missing component,Production Line 1,Sloane,Night,Resistor,FX-023,2025-W52,Medium
Model 595130-195,05,component misalignment,QA Inspection Station,Davonte,Afternoon,Resistor,FX-018,2025-W09,High
Model 595859-381,02,missing/unknown,Production Line 1,Xiang Liang,Afternoon,Resistor,FX-003,2025-W16,High
Model 595242-854,01,solder bridge,Production Line 2,Geofrey,Morning,Transistor,FX-044,2025-W45,High
Model 595204-792,05,component misalignment,Final Assembly Line,Geofrey,Morning,Resistor,FX-046,2025-W03,Low
Model 595214-125,04,solder bridge,Production Line 3,Xiang Liang,Morning,Connector,FX-050,2025-W40,Low
Model 595242-854,01,damaged component,Production Line 2,Jerome,Night,Diode,FX-028,2025-W24,High
Model 595859-381,04,pin damaged,QA Inspection Station,Mel,Night,Capacitor,FX-009,2025-W34,Medium
Model 595130-195,02,missing/unknown,Unknown,Jerome,Afternoon,Capacitor,FX-039,2025-W46,High
Model 595189-704,02,insufficient solder,Unknown,Daysha,Afternoon,Transistor,FX-032,2025-W36,High
Model 595130-195,02,missing component,Final Assembly Line,Daysha,Afternoon,Resistor,FX-014,2025-W42,Low
Model 595242-854,04,trace open,Production Line 2,Jerome,Night,Capacitor,FX-025,2025-W05,Medium
Model 595130-195,02,component misalignment,Production Line 3,Davonte,Afternoon,Diode,FX-021,2025-W47,High
Model 595214-125,03,excessive solder,Production Line 3,Jerome,Night,Diode,FX-013,2025-W14,Low
Model 595242-854,01,solder bridge,Production Line 3,Alaine,Morning,Diode,FX-016,2025-W26,Low
Model 595323-328,03,pin damaged,Unknown,Tristian,Afternoon,Diode,FX-039,2025-W50,High
Model 595242-854,05,insufficient solder,QA Inspection Station,Geofrey,Morning,Resistor,FX-050,2025-W49,Medium
Model 595214-125,02,reversed component,QA Inspection Station,Sloane,Afternoon,Diode,FX-009,2025-W24,Medium
Model 595859-381,02,wrong configuration,Production Line 3,Daysha,Morning,Resistor,FX-033,2025-W45,Low
Model 595242-854,02,pin hole,Production Line 2,Mel,Afternoon,Diode,FX-041,2025-W34,Low
Model 595130-195,05,no property assembled,Production Line 2,Sloane,Night,Diode,FX-018,2025-W08,High
Model 595532-132,05,long terminals,Production Line 2,Geofrey,Night,Resistor,FX-017,2025-W28,Medium
Model 595859-381,01,damaged/ lifted pad,Unknown,Davonte,Night,Transistor,FX-010,2025-W29,Medium
Model 595242-854,03,solder bridge,Unknown,Davonte,Morning,Resistor,FX-042,2025-W43,Medium
Model 595130-195,04,missing/unknown,Unknown,Davonte,Afternoon,Connector,FX-007,2025-W36,High
Model 595189-704,04,lifted component,Production Line 1,Daysha,Night,Diode,FX-015,2025-W23,Low
Model 595532-132,01,long terminals,QA Inspection Station,Darci,Night,Resistor,FX-029,2025-W19,High
Model 595532-132,04,insufficient solder,Production Line 1,Geofrey,Night,Resistor,FX-046,2025-W45,Low
Model 595130-195,01,wrong component,Production Line 1,Zoya,Night,Connector,FX-044,2025-W44,Low
Model 595130-195,02,reversed component,Production Line 3,Alaine,Afternoon,Capacitor,FX-045,2025-W49,Low
Model 595214-125,02,component height/titled,Final Assembly Line,Sloane,Night,Transistor,FX-044,2025-W13,Medium
Model 595214-125,05,reversed component,Final Assembly Line,Zoya,Afternoon,Resistor,FX-013,2025-W25,Low
Model 595242-854,03,component broken,Production Line 3,Jerome,Night,Transistor,FX-001,2025-W38,Medium
Model 595532-132,01,long terminals,Production Line 1,Davonte,Afternoon,Transistor,FX-014,2025-W40,Medium
Model 595214-125,05,solder bridge,QA Inspection Station,Xiang Liang,Morning,Capacitor,FX-021,2025-W16,Low
Model 595532-132,01,damaged/ lifted pad,Final Assembly Line,Leena,Night,Connector,FX-040,2025-W25,High
Model 595242-854,03,solder bridge,Production Line 1,Davonte,Afternoon,Transistor,FX-015,2025-W09,Low
Model 595532-132,05,wrong component,Production Line 2,Jerome,Morning,Diode,FX-035,2025-W45,Low
Model 595130-195,02,missing/unknown,Unknown,Leena,Afternoon,Transistor,FX-011,2025-W06,Medium
Model 595204-792,03,component misalignment,QA Inspection Station,Daysha,Afternoon,Connector,FX-025,2025-W25,Low
Model 595214-125,03,solder bridge,Production Line 3,Xiang Liang,Afternoon,Capacitor,FX-012,2025-W37,Medium
Model 595859-381,03,damaged component,Production Line 1,Geofrey,Afternoon,Resistor,FX-048,2025-W04,Low
Model 595214-125,02,component height/titled,Production Line 2,Mel,Afternoon,Connector,FX-048,2025-W26,Medium
Model 595214-125,01,component height/titled,QA Inspection Station,Xiang Liang,Afternoon,Capacitor,FX-032,2025-W40,Low
Model 595242-854,03,pin hole,Final Assembly Line,Xiang Liang,Night,Diode,FX-002,2025-W38,Medium
Model 595242-854,01,pin damaged,Production Line 1,Geofrey,Afternoon,Resistor,FX-005,2025-W38,Low
Model 595130-195,04,long terminals,QA Inspection Station,Xiang Liang,Afternoon,Resistor,FX-041,2025-W23,High
Model 595214-125,03,component height/titled,Production Line 3,Xiang Liang,Morning,Transistor,FX-044,2025-W41,High
Model 595204-792,01,damaged/ lifted pad,Final Assembly Line,Mel,Morning,Transistor,FX-025,2025-W43,Medium
Model 595242-854,02,component broken,QA Inspection Station,Alaine,Night,Resistor,FX-025,2025-W17,Low
Model 595532-132,04,long terminals,Unknown,Jerome,Afternoon,Transistor,FX-039,2025-W39,Low
Model 595242-854,05,pin hole,Production Line 1,Tristian,Afternoon,Capacitor,FX-043,2025-W49,High
Model 595242-854,04,component broken,Production Line 3,Jerome,Night,Transistor,FX-006,2025-W19,Medium
Model 595130-195,04,no property assembled,Final Assembly Line,Daysha,Afternoon,Transistor,FX-034,2025-W23,Low
Model 595214-125,03,excessive solder,Production Line 2,Davonte,Morning,Diode,FX-049,2025-W48,Medium
Model 595130-195,02,component broken,QA Inspection Station,Tristian,Night,Capacitor,FX-043,2025-W09,Medium
Model 595214-125,03,pin hole,Final Assembly Line,Leena,Afternoon,Capacitor,FX-028,2025-W19,Medium
Model 595859-381,02,damaged component,Unknown,Jerome,Morning,Diode,FX-003,2025-W27,Medium
Model 595130-195,02,no property assembled,QA Inspection Station,Darci,Morning,Transistor,FX-033,2025-W11,Low
Model 595214-125,02,insufficient solder,Production Line 3,Darci,Night,Connector,FX-003,2025-W45,Low
Model 595204-792,05,component misalignment,QA Inspection Station,Mel,Morning,Connector,FX-005,2025-W42,Medium
Model 595214-125,02,excessive solder,Production Line 2,Tristian,Afternoon,Diode,FX-013,2025-W13,Medium
Model 595242-854,02,lifted component,Unknown,Sloane,Afternoon,Capacitor,FX-024,2025-W13,High
Model 595214-125,04,reversed component,Final Assembly Line,Leena,Afternoon,Connector,FX-028,2025-W08,Medium
Model 595242-854,05,solder bridge,Unknown,Alaine,Morning,Connector,FX-039,2025-W18,High
Model 595214-125,04,excessive solder,Production Line 3,Sloane,Afternoon,Capacitor,FX-002,2025-W49,Low
Model 595130-195,02,no property assembled,Production Line 3,Mel,Night,Transistor,FX-028,2025-W01,Medium
Model 595859-381,05,component height/titled,Unknown,Geofrey,Afternoon,Connector,FX-012,2025-W04,High
Model 595242-854,02,solder bridge,Production Line 3,Xiang Liang,Afternoon,Connector,FX-038,2025-W26,Medium
Model 595214-125,03,solder bridge,Final Assembly Line,Tristian,Morning,Diode,FX-045,2025-W42,High
Model 595532-132,05,long terminals,QA Inspection Station,Mel,Night,Transistor,FX-043,2025-W20,High
Model 595323-328,02,pin damaged,Production Line 3,Mel,Afternoon,Diode,FX-039,2025-W21,Medium
Model 595130-195,04,missing/unknown,Production Line 2,Tristian,Night,Transistor,FX-008,2025-W31,High
Model 595130-195,04,reversed component,Production Line 1,Sloane,Night,Resistor,FX-019,2025-W02,Low
Model 595130-195,04,bad modules,Final Assembly Line,Davonte,Morning,Transistor,FX-002,2025-W47,Medium
Model 595204-792,05,pin damaged,Production Line 3,Sloane,Afternoon,Connector,FX-030,2025-W04,High
Model 595130-195,04,missing component,Final Assembly Line,Davonte,Night,Diode,FX-025,2025-W47,High
Model 595214-125,04,bad modules,Unknown,Davonte,Night,Resistor,FX-030,2025-W40,High
Model 595242-854,01,solder bridge,Production Line 3,Alaine,Morning,Transistor,FX-038,2025-W49,Low
Model 595130-195,05,missing component,Final Assembly Line,Tristian,Afternoon,Transistor,FX-003,2025-W04,Medium
Model 595189-704,01,wrong component,Production Line 1,Daysha,Morning,Resistor,FX-011,2025-W32,Low
Model 595242-854,05,pin damaged,QA Inspection Station,Daysha,Morning,Capacitor,FX-049,2025-W12,Medium
Model 595130-195,01,component misalignment,Production Line 2,Leena,Night,Diode,FX-016,2025-W08,Medium
Model 595242-854,05,component broken,Final Assembly Line,Geofrey,Afternoon,Resistor,FX-018,2025-W52,High
Model 595130-195,05,missing component,Unknown,Darci,Night,Diode,FX-025,2025-W06,High
Model 595859-381,03,damaged/ lifted pad,Final Assembly Line,Darci,Night,Diode,FX-001,2025-W07,Medium
Model 595214-125,01,component height/titled,Unknown,Alaine,Night,Capacitor,FX-047,2025-W42,High
Model 595214-125,01,bad modules,Production Line 1,Tristian,Morning,Connector,FX-003,2025-W52,Medium
Model 595214-125,01,solder bridge,Production Line 2,Tristian,Night,Connector,FX-037,2025-W20,High
Model 595242-854,04,solder bridge,QA Inspection Station,Xiang Liang,Morning,Capacitor,FX-001,2025-W24,Medium
Model 595130-195,02,missing component,Production Line 2,Darci,Night,Diode,FX-023,2025-W48,High
Model 595859-381,01,damaged component,Unknown,Alaine,Afternoon,Connector,FX-018,2025-W46,Low
Model 595323-328,01,excessive solder,Final Assembly Line,Darci,Morning,Connector,FX-045,2025-W18,High
Model 595130-195,01,missing/unknown,Production Line 2,Sloane,Afternoon,Transistor,FX-049,2025-W40,Medium
Model 595242-854,05,pin hole,Final Assembly Line,Alaine,Morning,Connector,FX-047,2025-W06,Low
Model 595130-195,01,no property assembled,Production Line 3,Leena,Night,Capacitor,FX-037,2025-W17,High
Model 595242-854,05,component broken,Production Line 3,Tristian,Morning,Connector,FX-035,2025-W17,High
Model 595858-658,03,component broken,Production Line 1,Xiang Liang,Night,Capacitor,FX-042,2025-W52,High
Model 595859-381,03,reversed component,Final Assembly Line,Jerome,Morning,Connector,FX-026,2025-W44,Low
Model 595323-328,01,pin damaged,Final Assembly Line,Geofrey,Night,Capacitor,FX-022,2025-W45,Low
Model 595214-125,01,insufficient solder,Unknown,Xiang Liang,Morning,Resistor,FX-013,2025-W11,High
Model 595532-132,03,no property assembled,QA Inspection Station,Geofrey,Morning,Diode,FX-018,2025-W13,High
Model 595532-132,01,no property assembled,Production Line 2,Zoya,Afternoon,Diode,FX-023,2025-W12,Low
Model 595323-328,05,damaged/ lifted pad,Production Line 2,Darci,Night,Transistor,FX-011,2025-W49,High
Model 595214-125,03,component height/titled,QA Inspection Station,Alaine,Afternoon,Capacitor,FX-010,2025-W47,Medium
Model 595130-195,03,missing component,Final Assembly Line,Daysha,Night,Resistor,FX-030,2025-W23,High
Model 595323-328,01,bad modules,QA Inspection Station,Daysha,Night,Transistor,FX-032,2025-W27,Medium
Model 595130-195,04,bad modules,Final Assembly Line,Mel,Morning,Diode,FX-019,2025-W11,High
Model 595130-195,03,no property assembled,Unknown,Davonte,Night,Capacitor,FX-031,2025-W46,Low
Model 595189-704,05,wrong configuration,Final Assembly Line,Alaine,Afternoon,Diode,FX-017,2025-W28,Medium
Model 595130-195,05,long terminals,Unknown,Tristian,Morning,Resistor,FX-017,2025-W02,Low
Model 595532-132,05,long terminals,Production Line 3,Sloane,Night,Connector,FX-037,2025-W02,Medium
Model 595532-132,02,no property assembled,Production Line 1,Jerome,Afternoon,Capacitor,FX-042,2025-W39,Low
Model 595130-195,05,missing/unknown,Production Line 1,Leena,Night,Resistor,FX-045,2025-W14,Medium
Model 595214-125,03,solder bridge,Production Line 1,Leena,Night,Diode,FX-012,2025-W24,Low
Model 595532-132,01,long terminals,Production Line 2,Jerome,Afternoon,Resistor,FX-037,2025-W28,High
Model 595130-195,04,wrong configuration,Production Line 2,Jerome,Afternoon,Resistor,FX-043,2025-W36,Medium
Model 595242-854,01,pin hole,Production Line 3,Darci,Morning,Connector,FX-040,2025-W09,Medium
Model 595130-195,04,no property assembled,Final Assembly Line,Zoya,Night,Transistor,FX-011,2025-W26,Low
Model 595214-125,04,component height/titled,Production Line 3,Zoya,Afternoon,Resistor,FX-037,2025-W34,Low
Model 595130-195,05,pin damaged,Unknown,Xiang Liang,Afternoon,Resistor,FX-008,2025-W22,Low
Model 595214-125,05,reversed component,Unknown,Leena,Night,Connector,FX-029,2025-W04,High
Model 595130-195,02,component misalignment,Production Line 2,Davonte,Morning,Connector,FX-028,2025-W18,Low
Model 595130-195,04,missing component,Production Line 3,Mel,Morning,Diode,FX-030,2025-W18,Medium
Model 595214-125,01,bad modules,Production Line 2,Sloane,Night,Transistor,FX-022,2025-W04,Low
Model 595859-381,02,trace open,Final Assembly Line,Leena,Afternoon,Resistor,FX-006,2025-W02,Low
Model 595214-125,03,component height/titled,Production Line 1,Davonte,Morning,Resistor,FX-037,2025-W27,Low
Model 595130-195,03,wrong configuration,Final Assembly Line,Davonte,Night,Resistor,FX-035,2025-W49,High
Model 595130-195,01,no property assembled,Production Line 3,Geofrey,Morning,Resistor,FX-041,2025-W25,Low
Model 595532-132,05,damaged/ lifted pad,Production Line 2,Mel,Afternoon,Diode,FX-005,2025-W48,Medium
Model 595130-195,05,no property assembled,Production Line 1,Zoya,Morning,Capacitor,FX-017,2025-W27,Medium
Model 595130-195,05,damaged/ lifted pad,Final Assembly Line,Jerome,Morning,Capacitor,FX-019,2025-W10,Low
Model 595189-704,05,pin damaged,Unknown,Jerome,Afternoon,Capacitor,FX-029,2025-W01,High
Model 595214-125,01,insufficient solder,Production Line 1,Tristian,Night,Transistor,FX-014,2025-W49,High
Model 595859-381,04,component height/titled,Production Line 1,Davonte,Morning,Connector,FX-045,2025-W02,High
Model 595189-704,05,missing component,QA Inspection Station,Mel,Night,Diode,FX-044,2025-W40,Medium
Model 595859-381,02,damaged/ lifted pad,Final Assembly Line,Jerome,Afternoon,Diode,FX-010,2025-W44,Medium
Model 595242-854,03,solder bridge,Production Line 2,Tristian,Morning,Transistor,FX-036,2025-W40,High
Model 595859-381,03,wrong component,Unknown,Geofrey,Night,Resistor,FX-044,2025-W48,Low
Model 595214-125,03,reversed component,Production Line 2,Daysha,Night,Diode,FX-006,2025-W04,Medium
Model 595242-854,05,component broken,Unknown,Mel,Night,Resistor,FX-012,2025-W40,Low
